brand,family,model,approx_era,status,host,max_sample_rate_khz,bit_depth,analog_output_summary,da_dynamic_range_dba,da_thdn_db,max_output_dbu,output_impedance_ohm,independent_measurement,measurement_source,confidence,modeling_note
Steinberg,CI,CI2/CI2+,2009-2013,legacy,USB,48,24,2 line out,,,,,limited,,low,
Steinberg,UR,UR12,2014-,current,USB 2,192,24,2 line out,,,,,available,Julian Krause,medium,
Steinberg,UR,UR22,2013-2019,legacy,USB 2,192,24,2 line out,,,,,available,RMAA/Julian Krause,medium,
Steinberg,UR,UR22mkII,2015-2020,legacy,USB 2,192,24,2 line out,,,,,available,Julian Krause,medium,
Steinberg,UR,UR242,2015-,current_or_legacy,USB 2,192,24,4 line out,,,,,limited,,low,
Steinberg,UR,UR44,2014-2020,legacy,USB 2,192,24,6 line out,,,,,limited,,low,
Steinberg,UR,UR28M,2011-2018,legacy,USB 2,96,24,6 line out,,,,,limited,,low,
Steinberg,UR,UR824,2011-2020,legacy,USB 2,192,24,8 line out,,,,,limited,,low,
Steinberg,UR-RT,UR-RT2,2018-2021,legacy,USB 2,192,24,2 line out,,,,,available,Julian Krause,medium,
Steinberg,UR-RT,UR-RT4,2018-2021,legacy,USB 2,192,24,4 line out,,,,,limited,,low,
Steinberg,UR-C,UR22C,2019-,current,USB 3,192,32,2 line out,107,,+12,,available,Julian Krause,high,
Steinberg,UR-C,UR24C,2020-,current,USB 3,192,32,4 line out,,,,,limited,,medium,
Steinberg,UR-C,UR44C,2019-,current,USB 3,192,32,6 line out,,,,,available,Julian Krause,medium,
Steinberg,UR-C,UR816C,2019-,current,USB 3,192,32,8 line out,,,,,limited,,medium,
Steinberg,IXO,IXO12,2023-,current,USB-C,192,24,2 line out,115,,+12,,available,Julian Krause,medium,
Steinberg,IXO,IXO22,2023-,current,USB-C,192,24,2 line out,115,,+12,,available,Julian Krause,medium,
Steinberg,AXR,AXR4T,2019-,current_or_legacy,Thunderbolt,384,32,8 line out,123,-114,+24,,limited,,medium,
Arturia,AudioFuse,AudioFuse Rev1/Rev2,2017-,current_or_long_running,USB 2,192,24,4 line out,117,-100,+24,10,available,Audio Science Review; Julian Krause,high,revision and power mode
Arturia,AudioFuse,AudioFuse Studio,2020-,current,USB-C,192,24,8 line out,119,-105,+24,10,available,Julian Krause,medium,
Arturia,AudioFuse,AudioFuse 8Pre,2019-,current,USB-C/ADAT,192,24,8 line out,119,-105,+24,10,limited,,medium,
Arturia,AudioFuse,AudioFuse 16Rig,2023-,current,USB-C,192,24,12 line out,120,-108,+24,10,limited,,medium,
Arturia,MiniFuse,MiniFuse 1,2021-,current,USB-C,192,24,2 line out,110,-100,+12,94,available,Julian Krause,high,
Arturia,MiniFuse,MiniFuse 2,2021-,current,USB-C,192,24,2 line out,110,-100,+12,94,available,Julian Krause,high,
Arturia,MiniFuse,MiniFuse 4,2022-,current,USB-C,192,24,4 line out,110,-100,+12,94,available,Julian Krause,medium,
Avid,Digidesign,Mbox,2001-2005,legacy,USB 1.1,48,24,2 line out,,,,,available,RMAA archives,low,
Avid,Digidesign,Mbox 2,2005-2010,legacy,USB 1.1,48,24,2 line out,,,,,available,RMAA archives,low,
Avid,Digidesign,Mbox 2 Pro,2006-2010,legacy,FireWire,96,24,6 line out,,,,,available,RMAA archives,low,
Avid,Mbox,Mbox 3rd Gen,2010-2014,legacy,USB 2,96,24,4 line out,,,,,available,technology guide/user tests,medium,
Avid,Mbox,Mbox Pro 3rd Gen,2010-2014,legacy,FireWire,192,24,6 line out,,,,,limited,,medium,
Avid,Mbox,Mbox Studio,2022-,current,USB-C,192,24,8 line out,120,-110,+21,,limited,,medium,
Avid,Pro Tools HD,192 I/O,2002-2011,legacy,DigiLink,192,24,8 line module,118,-105,+24,,available,professional bench/user tests,medium,card revisions
Avid,Pro Tools HD,HD I/O 8x8x8,2010-,current_or_legacy,DigiLink,192,24,8 line out,120,-110,+24,,available,professional bench tests,medium,
Avid,Pro Tools HD,HD I/O 16x16 Analog,2010-,current_or_legacy,DigiLink,192,24,16 line out,120,-110,+24,,available,professional bench tests,medium,
Avid,Carbon,Pro Tools Carbon,2020-,current,Ethernet AVB,192,32,10 line out,126,-115,+24,,limited,,high,
Avid,Carbon,Carbon Pre,2022-,current,Ethernet AVB,192,32,8 line out,126,-115,+24,,limited,,high,
Avid,MTRX,MTRX,2016-,current,DigiLink/Dante,384,32,module dependent,,,,,limited,,medium,DAD modules determine D/A
Avid,MTRX,MTRX Studio,2020-,current,DigiLink/Dante,192,32,18 analog out,128,-115,+24,,limited,,high,DAD-designed platform
Neumann,MT,MT 48,2023-,current,USB-C/ADAT/AES67,192,32,8 analog out,136,-120,+24,,available,Audio Science Review/independent analyzer,high,Merging-derived; monitor and line outputs differ
Merging Technologies,Horus,Horus,2012-,current,RAVENNA/AES67,192,24,module dependent,120,-115,+24,,limited,,high,module-specific
Merging Technologies,Hapi,Hapi MkI,2014-2023,legacy,RAVENNA/AES67,192,24,module dependent,120,-115,+24,,limited,,high,module-specific
Merging Technologies,Hapi,Hapi MkII,2023-,current,RAVENNA/AES67,192,32,module dependent,128,-120,+24,,limited,,high,module-specific
Merging Technologies,Anubis,Anubis Premium,2019-,current,RAVENNA/AES67,192,32,4 analog out,123,-116,+24,,available,Audio Science Review/bench reports,medium,
Merging Technologies,Anubis,Anubis Music,2021-,current,RAVENNA/AES67,192,32,4 analog out,123,-116,+24,,limited,,medium,same hardware family
DAD,AX32,AX32,2014-2022,legacy,Dante/DigiLink/MADI,module dependent,32,module dependent,,,,,limited,,medium,module-specific
DAD,AX Center,AX Center,2024-,current,Thunderbolt/Dante/DigiLink,384,32,module dependent,128,-118,+24,,limited,,high,
DAD,Core,Core 256,2021-,current,Dante/DigiLink/MADI,384,32,module dependent,,,,,limited,,medium,mostly digital matrix
DAD,Core,Core 256i,2024-,current,Thunderbolt/Dante/DigiLink,384,32,module dependent,,,,,limited,,medium,
Ferrofish,A Series,A16 MkII,2004-2010,legacy,ADAT/MADI,96,24,16 line out,,,,,limited,,low,converter not computer interface alone
Ferrofish,A Series,A16 Ultra,2010-2014,legacy,ADAT/MADI,96,24,16 line out,,,,,limited,,low,
Ferrofish,A Series,A32,2016-2020,legacy,ADAT/MADI,192,24,32 line out,118,-100,+20,,limited,,medium,
Ferrofish,A Series,A32 Dante,2017-2020,legacy,Dante/ADAT/MADI,192,24,32 line out,118,-100,+20,,limited,,medium,
Ferrofish,A Series,A32 Pro,2021-,current,ADAT/MADI,192,24,32 line out,125,-110,+24,,limited,,high,
Ferrofish,A Series,A32 Pro Dante,2021-,current,Dante/ADAT/MADI,192,24,32 line out,125,-110,+24,,limited,,high,
Ferrofish,Pulse,Pulse 16,2018-,current,ADAT/MADI,192,24,16 line out,118,-100,+20,,limited,,medium,
Ferrofish,Pulse,Pulse 16 MX,2018-,current,ADAT/MADI,192,24,16 line out,118,-100,+20,,limited,,medium,
Ferrofish,Pulse,Pulse 16 DX,2019-,current,Dante/ADAT/MADI,192,24,16 line out,118,-100,+20,,limited,,medium,
TASCAM,US legacy,US-122,2003-2007,legacy,USB 1.1,48,24,2 line out,,,,,available,RMAA archives,low,
TASCAM,US legacy,US-144,2007-2011,legacy,USB 2,96,24,2 line out,,,,,available,RMAA archives,low,
TASCAM,US legacy,US-1641,2007-2011,legacy,USB 2,96,24,4 line out,,,,,limited,,low,
TASCAM,US legacy,US-1800,2011-2015,legacy,USB 2,96,24,4 line out,,,,,limited,,low,
TASCAM,US x2x,US-2x2,2014-2020,legacy,USB 2,96,24,2 line out,101,,+8,,available,Julian Krause,medium,
TASCAM,US x2x,US-4x4,2014-2020,legacy,USB 2,96,24,4 line out,,,,,limited,,low,
TASCAM,US-HR,US-1x2HR,2020-,current,USB 2,192,24,2 line out,112,,+12,,available,Julian Krause,medium,
TASCAM,US-HR,US-2x2HR,2020-,current,USB 2,192,24,2 line out,112,,+12,,available,Julian Krause,medium,
TASCAM,US-HR,US-4x4HR,2020-,current,USB 2,192,24,4 line out,112,,+12,,available,Julian Krause,medium,
TASCAM,SERIES,SERIES 102i,2019-,current,USB 2,192,24,4 line out,109,,+20,,limited,,medium,
TASCAM,SERIES,SERIES 208i,2019-,current,USB 2,192,24,8 line out,109,,+20,,limited,,medium,
TASCAM,SERIES,SERIES 8p Dyna,2019-,current,USB 2,192,24,8 line out,109,,+20,,limited,,medium,
Zoom,TAC,TAC-2,2014-2019,legacy,Thunderbolt,192,24,2 line out,,,,,available,Julian Krause,medium,
Zoom,TAC,TAC-2R,2015-2019,legacy,Thunderbolt,192,24,2 line out,,,,,limited,,low,
Zoom,TAC,TAC-8,2015-2019,legacy,Thunderbolt,192,24,10 line out,,,,,limited,,low,
Zoom,UAC,UAC-2,2015-2023,legacy,USB 3,192,24,2 line out,120,,+14,,available,Julian Krause,high,
Zoom,UAC,UAC-8,2015-2023,legacy,USB 3,192,24,10 line out,120,,+14,,limited,,medium,
Zoom,U Series,U-22,2016-,current,USB 2,96,24,RCA out,,,,,limited,,low,
Zoom,U Series,U-24,2016-,current,USB 2,96,24,4 line out,,,,,limited,,low,
Zoom,U Series,U-44,2016-,current,USB 2,96,24,4 line out,,,,,limited,,low,
Zoom,AMS,AMS-22,2022-,current,USB-C,96,24,2 line out,,,,,available,Julian Krause,medium,
Zoom,AMS,AMS-24,2022-,current,USB-C,96,24,2 line out,,,,,available,Julian Krause,medium,
Zoom,AMS,AMS-44,2022-,current,USB-C,96,24,4 line out,,,,,available,Julian Krause,medium,
Native Instruments,Audio Kontrol,Audio Kontrol 1,2006-2012,legacy,USB 2,192,24,4 line out,,,,,available,RMAA archives,low,
Native Instruments,Komplete Audio,Komplete Audio 6 MkI,2011-2018,legacy,USB 2,96,24,4 line out,,,,,available,Julian Krause/RMAA,medium,
Native Instruments,Komplete Audio,Komplete Audio 1,2019-,current,USB 2,192,24,2 line out,110,,+12,,available,Julian Krause,medium,
Native Instruments,Komplete Audio,Komplete Audio 2,2019-,current,USB 2,192,24,2 line out,110,,+12,,available,Julian Krause,medium,
Native Instruments,Komplete Audio,Komplete Audio 6 MkII,2019-,current,USB 2,192,24,4 line out,111,,+11.3,,available,Julian Krause,high,
Native Instruments,Traktor,Traktor Audio 2/6/10,2011-2020,legacy,USB,96,24,model dependent,,,,,available,DJ TechTools/RMAA,low,DJ output calibration differs
M-Audio,Delta,Delta 44/66,1999-2010,legacy,PCI,96,24,4 line out,,,,,available,RMAA archives,medium,important early prosumer baseline
M-Audio,Delta,Delta 1010,1999-2012,legacy,PCI,96,24,8 line out,,,,,available,RMAA archives,medium,
M-Audio,FireWire,FireWire 410,2003-2010,legacy,FireWire,96,24,8 line out,,,,,available,RMAA archives,low,
M-Audio,FireWire,FireWire 1814,2004-2010,legacy,FireWire,192,24,8 line out,,,,,available,RMAA archives,low,
M-Audio,Fast Track,Fast Track Pro,2006-2013,legacy,USB 1.1,96,24,4 line out,,,,,available,RMAA archives,medium,
M-Audio,Fast Track,Fast Track Ultra,2008-2013,legacy,USB 2,96,24,8 line out,,,,,available,RMAA archives,low,
M-Audio,M-Track,M-Track MkI/MkII,2012-2016,legacy,USB 2,48_or_96,24,2 line out,,,,,available,Julian Krause/RMAA,low,
M-Audio,M-Track,M-Track 2X2/2X2M,2016-2020,legacy,USB-C,192,24,2 line out,,,,,available,Julian Krause,medium,
M-Audio,Air,AIR 192|4,2019-,current,USB-C,192,24,2 line out,109,,+13,,available,Julian Krause,medium,
M-Audio,Air,AIR 192|6,2019-,current,USB-C,192,24,2 line out,109,,+13,,available,Julian Krause,medium,
M-Audio,Air,AIR 192|8,2019-,current,USB-C,192,24,4 line out,109,,+13,,limited,,medium,
M-Audio,Air,AIR 192|14,2019-,current,USB-C,192,24,4 line out,109,,+13,,limited,,medium,
M-Audio,M-Track,M-Track Solo,2020-,current,USB 2,48,16,2 RCA out,,,,,available,Julian Krause,medium,
M-Audio,M-Track,M-Track Duo,2020-,current,USB 2,48,16,2 RCA out,,,,,available,Julian Krause,medium,
Roland/Edirol,UA legacy,UA-5,2001-2005,legacy,USB 1.1,96,24,RCA out,,,,,available,RMAA archives,low,
Roland/Edirol,FA legacy,FA-66,2005-2010,legacy,FireWire,192,24,6 line out,,,,,available,RMAA archives,low,
Roland/Edirol,FA legacy,FA-101,2004-2010,legacy,FireWire,192,24,8 line out,,,,,available,RMAA archives,low,
Roland,Capture,Quad-Capture,2011-2018,legacy,USB 2,192,24,2 line out,,,,,available,RMAA/Julian Krause,medium,
Roland,Capture,Octa-Capture,2010-,current_or_long_running,USB 2,192,24,8 line out,,,,,available,RMAA/user tests,medium,
Roland,Capture,Studio-Capture,2013-,current_or_long_running,USB 2,192,24,10 line out,,,,,limited,,medium,
Roland,Rubix,Rubix22,2017-,current,USB 2,192,24,2 line out,,,,,available,Julian Krause,medium,
Roland,Rubix,Rubix24,2017-,current,USB 2,192,24,4 line out,,,,,available,Julian Krause,medium,
Roland,Rubix,Rubix44,2017-,current,USB 2,192,24,4 line out,,,,,available,Julian Krause,medium,
ESI,ESU,ESU1808,2007-2013,legacy,USB 2,96,24,8 line out,,,,,limited,,low,
ESI,UGM,UGM96,2009-,current,USB,96,24,stereo out,,,,,available,RMAA archives,low,
ESI,U Series,U22 XT,2016-,current,USB 2,96,24,2 line out,,,,,available,Julian Krause,medium,
ESI,U Series,U86 XT,2016-,current,USB 2,96,24,8 line out,,,,,limited,,low,
ESI,MAYA,MAYA44 USB+,2014-,current,USB 2,96,24,4 line out,,,,,available,RMAA archives,low,
ESI,planet,planet 22x,2021-,current,Dante,96,24,2 line out,,,,,limited,,low,
Behringer,U-Phoria,UM2,2014-,current,USB 1.1,48,16,2 RCA out,,,,,available,Julian Krause,high,low-cost baseline
Behringer,U-Phoria,UMC22,2014-,current,USB 1.1,48,16,2 RCA out,,,,,available,Julian Krause,high,low-cost baseline
Behringer,U-Phoria,UMC202HD,2015-,current,USB 2,192,24,2 line out,100,,+3,,available,Audio Science Review; Julian Krause,high,
Behringer,U-Phoria,UMC204HD,2015-,current,USB 2,192,24,4 line out,100,,+3,,available,Julian Krause,high,
Behringer,U-Phoria,UMC404HD,2015-,current,USB 2,192,24,4 line out,100,,+3,,available,Julian Krause,high,
Behringer,U-Phoria,UMC1820,2015-,current,USB 2,96,24,10 line out,,,,,available,Julian Krause,medium,
Mackie,Onyx,Onyx Satellite,2006-2010,legacy,FireWire,96,24,6 line out,,,,,limited,,low,
Mackie,Onyx,Onyx Blackjack,2010-2016,legacy,USB 2,48,24,2 line out,,,,,available,Audio Science Review/RMAA,medium,
Mackie,Onyx,Onyx Artist 1-2,2018-,current,USB 2,192,24,2 line out,,,,,available,Julian Krause,medium,
Mackie,Onyx,Onyx Producer 2-2,2018-,current,USB 2,192,24,2 line out,,,,,available,Julian Krause,medium,
Mackie,Onyx,Onyx8/12/16/24,2021-,current,USB 2,96,24,mixer main/aux out,,,,,limited,,low,mixer-interface path
IK Multimedia,AXE,AXE I/O,2018-,current,USB 2,192,24,5 analog out,117,-104,+21.5,,available,Julian Krause,medium,guitar-centric
IK Multimedia,AXE,AXE I/O ONE,2023-,current,USB-C,192,24,3 analog out,,,,,available,Julian Krause,medium,
IK Multimedia,AXE,AXE I/O SOLO,2020-,current,USB 2,192,24,3 analog out,,,,,available,Julian Krause,medium,
IK Multimedia,iRig,iRig Pro Duo I/O,2018-,current,USB/Lightning,192,24,2 line out,,,,,available,Julian Krause,medium,
IK Multimedia,ToneX,ToneX One/ Pedal USB interface,2023-,current,USB,192,24,instrument-focused out,,,,,limited,,low,not general monitor interface
Black Lion Audio,Revolution,Revolution 2x2,2020-,current,USB-C,192,24,4 analog out,120,-102,+18,,available,Julian Krause,medium,
Black Lion Audio,Revolution,Revolution 6x6,2022-,current,USB-C,192,24,6 analog out,120,-102,+18,,limited,,medium,
Black Lion Audio,Revolution,Revolution 14x16,2024-,current,USB-C,192,24,16 analog out,120,-102,+18,,limited,,medium,
Lewitt,CONNECT,CONNECT 6,2022-,current,USB-C,96,24,4 line out,118,-105,+12,,available,Julian Krause,high,dual USB and DSP paths
SPL,Crimson,Crimson,2013-2016,legacy,USB 2,192,24,6 analog out,114,-100,+22,,limited,,medium,
SPL,Crimson,Crimson 3,2017-,current,USB 2,192,24,6 analog out,114,-100,+22,,limited,,medium,
SPL,Marc,Marc One,2020-,current,USB 2,192,32,4 analog out,120,-110,+22,75,limited,,medium,monitor controller/interface
SPL,Diamond,Diamond,2023-,current,USB option,768,32,2 line out,120,-112,+32,75,limited,,medium,standalone DAC/controller boundary
Kurzweil,UNiTE,UNiTE-2,2020s,current,USB-C,48,24,line/headphone out,,,,,available,"Neuracoust in-house 시험성적서 (Out2->In2, 48kHz, -30dBFS, 3-avg)",high,실측 FR + 레벨별 H2-H7 보유 (성적서)
Waves,DigiGrid,DigiGrid D,2010s,current,SoundGrid/Ethernet,96,24,line/monitor out,,,,,not_located,,low,
